time_s,event_type,uav_id,cluster_id,details
4.73017,JOIN,0,0,ok
8.1271,LEAVE,1,0,ok
18.7302,JOIN,1,0,ok
25.9271,LEAVE,2,0,ok
32.7302,JOIN,2,0,ok
43.7271,LEAVE,3,0,ok
46.7302,JOIN,3,0,ok
50,COMPROMISE,0,0,reason=0
50,COMPROMISE,0,0,hmac_fail
60,BATCH_REKEY,255,ALL,global
60.7302,JOIN,4,1,ok
61.5271,LEAVE,4,1,ok
74.7302,JOIN,5,1,ok
79.3271,LEAVE,5,1,ok
80,HANDOVER,1,0→1
88.7302,JOIN,6,1,ok
97.1271,LEAVE,6,1,ok
102.73,JOIN,7,1,ok
114.927,LEAVE,7,1,ok
116.73,JOIN,8,2,ok
130.73,JOIN,9,2,ok
132.727,LEAVE,8,2,ok
144.73,JOIN,10,2,ok
150.527,LEAVE,9,2,ok
158.73,JOIN,11,2,ok
168.327,LEAVE,10,2,ok
172.73,JOIN,0,0,ok
186.127,LEAVE,11,2,ok
186.73,JOIN,1,0,ok
200.73,JOIN,2,0,ok
203.927,LEAVE,0,0,ok
214.73,JOIN,3,0,ok
221.727,LEAVE,1,0,ok
228.73,JOIN,4,1,ok
239.527,LEAVE,2,0,ok
242.73,JOIN,5,1,ok
256.73,JOIN,6,1,ok
257.327,LEAVE,3,0,ok
270.73,JOIN,7,1,ok
275.127,LEAVE,4,1,ok
284.73,JOIN,8,2,ok
