metric,value
global_pdr,0.6875
global_throughput_kbps,2.14357
global_avg_delay_ms,0.827273
global_jitter_ms,0.934166
global_loss_ratio,0.28125
avg_routing_stability,0.047619
avg_connectivity_ratio,0
total_route_breaks,1
cluster0_pdr,0.692308
cluster0_tput_kbps,0.73728
cluster0_delay_ms,0.683333
cluster0_loss,0.230769
cluster1_pdr,0.7
cluster1_tput_kbps,0.709973
cluster1_delay_ms,0.864286
cluster1_loss,0.3
cluster2_pdr,0.666667
cluster2_tput_kbps,0.69632
cluster2_delay_ms,1
cluster2_loss,0.333333
