time_s,cluster_id,trigger,latency_ms,tek_version,members,msg_cost_bytes
4.73017,0,JOIN,4.3,1,6,512
8.1271,0,LEAVE,4,3,5,512
15.7302,0,JOIN,4.3,3,6,512
22.3271,0,LEAVE,4,5,5,512
26.7302,0,JOIN,4.3,5,6,512
36.5271,0,LEAVE,4,7,5,512
37.7302,0,JOIN,4.3,7,6,512
48.7302,0,JOIN,4.3,7,6,512
50.7271,0,LEAVE,3.7,11,4,512
59.7302,0,JOIN,3.7,11,4,512
60,0,PERIODIC,0.763281,12,4,512
60,1,PERIODIC,0.673974,2,6,512
60,2,PERIODIC,0.718229,2,6,512
60,0,KDC_INIT,0.62686,13,4,512
60,1,KDC_INIT,0.528581,3,6,512
60,2,KDC_INIT,0.65809,3,6,512
64.9271,0,LEAVE,3.4,15,3,512
70.7302,1,JOIN,4.6,3,7,512
79.1271,1,LEAVE,4.3,5,6,512
80,0,HANDOVER,0.733175,16,3,512
80,1,HANDOVER,0.687503,6,6,512
81.7302,1,JOIN,4.6,6,7,512
92.7302,1,JOIN,4.9,6,8,512
93.3271,1,LEAVE,4.6,8,7,512
103.73,1,JOIN,4.9,8,8,512
107.527,1,LEAVE,4.6,10,7,512
114.73,1,JOIN,4.9,10,8,512
121.727,1,LEAVE,4.6,12,7,512
125.73,1,JOIN,4.9,12,8,512
135.927,1,LEAVE,4.6,14,7,512
136.73,2,JOIN,4.6,3,7,512
147.73,2,JOIN,4.9,3,8,512
150.127,1,LEAVE,4.3,16,6,512
158.73,2,JOIN,5.2,3,9,512
164.327,2,LEAVE,4.9,5,8,512
169.73,2,JOIN,5.2,5,9,512
178.527,2,LEAVE,4.9,7,8,512
180.73,2,JOIN,5.2,7,9,512
191.73,2,JOIN,5.5,7,10,512
192.727,2,LEAVE,5.2,9,9,512
202.73,0,JOIN,3.7,16,4,512
206.927,2,LEAVE,4.9,11,8,512
213.73,0,JOIN,3.7,16,4,512
221.127,2,LEAVE,4.6,13,7,512
224.73,0,JOIN,3.7,16,4,512
235.327,2,LEAVE,4.3,15,6,512
235.73,0,JOIN,3.7,16,4,512
246.73,0,JOIN,4,16,5,512
249.527,0,LEAVE,3.7,18,4,512
257.73,0,JOIN,4,18,5,512
263.727,0,LEAVE,3.7,20,4,512
268.73,1,JOIN,4.6,16,7,512
277.927,0,LEAVE,3.4,22,3,512
279.73,1,JOIN,4.9,16,8,512
