uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,0.869365,1,0.285225,0.356532
1,0,-18.0211,1,0.8,1
2,0,-12.2189,1,0.8,1
3,0,-2.909,1,0.43636,0.54545
4,0,-0.432819,1,0.337313,0.421641
5,0,4.35282,1,0.145887,0.182359
6,1,-3.01036,1,0.440414,0.550518
7,1,1.57892,1,0.256843,0.321054
8,1,2.07062,1,0.237175,0.296469
9,1,-14.2767,1,0.8,1
10,1,-14.1501,1,0.8,1
11,1,4.3466,1,0.146136,0.18267
12,2,3.1625,1,0.1935,0.241875
13,2,-3.84184,1,0.473674,0.592092
14,2,2.34758,1,0.226097,0.282621
15,2,0.44202,1,0.302319,0.377899
16,2,1.99208,1,0.240317,0.300396
17,2,3.90634,1,0.163747,0.204683
